symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
APT-USDT,SHORT,ریسک بالا,1.56620000,1.57460960,1.54938080,2025-12-17 10:46:59,STOP_HIT,2025-12-17 10:47:00,1.57460960,0.020000,-0.073694,10.00,-0.5369,"Dir=SHORT | TF_EMA=30m:EMA21=1.579256,30m:EMA55=1.58331,1h:EMA21=1.581223,1h:EMA55=1.59576,4h:EMA21=1.611853,4h:EMA55=1.689512 | TF_RSI=5m:RSI=38.41,15m:RSI=38.98,30m:RSI=39.9,1h:RSI=42.26,4h:RSI=36.53 | TF_MACD=5m:MACD=-0.001312,5m:HIST=-0.000491,15m:MACD=-0.004785,15m:HIST=-0.000209,30m:MACD=-0.004625,30m:HIST=-0.002195,1h:MACD=-0.003665,1h:HIST=-0.002314,4h:MACD=-0.030655,4h:HIST=0.002329 | BS15=0.308 | RulesPassed=روند 4h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.31 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 4/5 + شدت=2|بدون واگرایی در 1h و 4h"
OP-USDT,SHORT,ریسک بالا,0.29010000,0.29140680,0.28748640,2025-12-17 10:46:59,STOP_HIT,2025-12-17 10:47:00,0.29140680,0.020000,-0.065047,10.00,-0.4505,"Dir=SHORT | TF_EMA=30m:EMA21=0.291819,30m:EMA55=0.292638,1h:EMA21=0.292191,1h:EMA55=0.295304,4h:EMA21=0.298093,4h:EMA55=0.306241 | TF_RSI=5m:RSI=40.32,15m:RSI=42.73,30m:RSI=43.64,1h:RSI=43.68,4h:RSI=39.89 | TF_MACD=5m:MACD=-0.000157,5m:HIST=-5.1e-05,15m:MACD=-0.000631,15m:HIST=-3.5e-05,30m:MACD=-0.000644,30m:HIST=-0.000294,1h:MACD=-0.00071,1h:HIST=-0.000238,4h:MACD=-0.00528,4h:HIST=-0.000121 | BS15=0.5 | RulesPassed=EMA21 30m;کندل قوی 15m;ورود + حجم;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.50 (حد > 0.3)|شکست سطح + حجم ≥1.0x|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=2|بدون واگرایی در 1h و 4h"
DOT-USDT,SHORT,ریسک بالا,1.87490000,1.88476040,1.85517920,2025-12-17 10:46:59,STOP_HIT,2025-12-17 10:47:00,1.88476040,0.020000,-0.072592,10.00,-0.5259,"Dir=SHORT | TF_EMA=30m:EMA21=1.885668,30m:EMA55=1.896651,1h:EMA21=1.89211,1h:EMA55=1.916867,4h:EMA21=1.93858,4h:EMA55=2.022396 | TF_RSI=5m:RSI=44.84,15m:RSI=41.97,30m:RSI=41.74,1h:RSI=40.14,4h:RSI=34.07 | TF_MACD=5m:MACD=-0.00041,5m:HIST=-0.00027,15m:MACD=-0.004741,15m:HIST=0.000359,30m:MACD=-0.006921,30m:HIST=-0.001237,1h:MACD=-0.008953,1h:HIST=-0.001829,4h:MACD=-0.041883,4h:HIST=0.00057 | BS15=0.08 | RulesPassed=روند 4h;EMA21 30m;ورود + حجم;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|نزدیکی سطح + حجم ≥1.1x|RSI 5/5 + قوی=0 یا MACD 3/5 + شدت=2|بدون واگرایی در 1h و 4h"
ARB-USDT,SHORT,ریسک بالا,0.19730000,0.19834160,0.19521680,2025-12-17 10:46:59,STOP_HIT,2025-12-17 10:47:00,0.19834160,0.020000,-0.072793,10.00,-0.5279,"Dir=SHORT | TF_EMA=30m:EMA21=0.198649,30m:EMA55=0.198907,1h:EMA21=0.198723,1h:EMA55=0.200538,4h:EMA21=0.202359,4h:EMA55=0.206659 | TF_RSI=5m:RSI=37.25,15m:RSI=40.09,30m:RSI=42.8,1h:RSI=44.35,4h:RSI=40.66 | TF_MACD=5m:MACD=-0.00016,5m:HIST=-0.000103,15m:MACD=-0.00044,15m:HIST=-4.7e-05,30m:MACD=-0.000371,30m:HIST=-0.000241,1h:MACD=-0.000243,1h:HIST=-0.000188,4h:MACD=-0.003101,4h:HIST=-0.000138 | BS15=0.5 | RulesPassed=روند 4h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.50 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=2|بدون واگرایی در 1h و 4h"
OP-USDT,SHORT,ریسک بالا,0.28910000,0.29034200,0.28661600,2025-12-17 11:50:12,STOP_HIT,2025-12-17 11:51:00,0.29034200,0.020000,-0.062961,10.00,-0.4296,"Dir=SHORT | TF_EMA=30m:EMA21=0.291397,30m:EMA55=0.29241,1h:EMA21=0.291885,1h:EMA55=0.295073,4h:EMA21=0.29725,4h:EMA55=0.305619 | TF_RSI=5m:RSI=33.82,15m:RSI=38.95,30m:RSI=40.74,1h:RSI=41.58,4h:RSI=39.11 | TF_MACD=5m:MACD=-0.000342,5m:HIST=-0.000129,15m:MACD=-0.000735,15m:HIST=-8.8e-05,30m:MACD=-0.000826,30m:HIST=-0.00032,1h:MACD=-0.000889,1h:HIST=-0.00033,4h:MACD=-0.00534,4h:HIST=-0.000141 | BS15=1.0 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 1.00 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=2|بدون واگرایی در 1h و 4h"
POL-USDT,SHORT,ریسک بالا,0.11110000,0.11158000,0.11014000,2025-12-17 12:21:24,STOP_HIT,2025-12-17 12:22:00,0.11158000,0.020000,-0.063204,10.00,-0.4320,"Dir=SHORT | TF_EMA=30m:EMA21=0.11242,30m:EMA55=0.112935,1h:EMA21=0.112744,1h:EMA55=0.114059,4h:EMA21=0.114886,4h:EMA55=0.118618 | TF_RSI=5m:RSI=35.95,15m:RSI=33.01,30m:RSI=34.99,1h:RSI=36.39,4h:RSI=35.65 | TF_MACD=5m:MACD=-0.000282,5m:HIST=-7.3e-05,15m:MACD=-0.00049,15m:HIST=-6.5e-05,30m:MACD=-0.000472,30m:HIST=-0.000203,1h:MACD=-0.000395,1h:HIST=-0.000173,4h:MACD=-0.002149,4h:HIST=-0.000115 | BS15=0.0 | RulesPassed=روند 4h;روند 1h;EMA21 30m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=2|بدون واگرایی در 1h و 4h"
BNB-USDT,SHORT,ریسک بالا,863.97000000,866.58630240,858.73739520,2025-12-17 13:16:44,STOP_HIT,2025-12-17 13:17:00,866.58630240,0.020000,-0.050282,10.00,-0.3028,"Dir=SHORT | TF_EMA=30m:EMA21=865.204516,30m:EMA55=866.296004,1h:EMA21=866.039018,1h:EMA55=869.151025,4h:EMA21=872.378765,4h:EMA55=879.469944 | TF_RSI=5m:RSI=46.92,15m:RSI=47.42,30m:RSI=46.82,1h:RSI=47.22,4h:RSI=44.01 | TF_MACD=5m:MACD=-0.400257,5m:HIST=0.015073,15m:MACD=-0.426959,15m:HIST=0.048852,30m:MACD=-1.183005,30m:HIST=0.009975,1h:MACD=-0.807277,1h:HIST=-0.667849,4h:MACD=-5.210999,4h:HIST=0.027726 | BS15=0.606 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.61 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 1/5 + شدت=1|بدون واگرایی در 1h و 4h"
LTC-USDT,SHORT,ریسک بالا,78.32000000,78.61218800,77.73562400,2025-12-17 13:16:44,STOP_HIT,2025-12-17 13:17:00,78.61218800,0.020000,-0.057307,10.00,-0.3731,"Dir=SHORT | TF_EMA=30m:EMA21=78.799649,30m:EMA55=78.760946,1h:EMA21=78.804938,1h:EMA55=78.968663,4h:EMA21=79.340493,4h:EMA55=80.761258 | TF_RSI=5m:RSI=38.73,15m:RSI=35.96,30m:RSI=39.38,1h:RSI=44.26,4h:RSI=41.65 | TF_MACD=5m:MACD=-0.146725,5m:HIST=0.009718,15m:MACD=-0.208121,15m:HIST=-0.057098,30m:MACD=-0.130885,30m:HIST=-0.118516,1h:MACD=0.044227,1h:HIST=-0.103531,4h:MACD=-0.718016,4h:HIST=0.128879 | BS15=0.4 | RulesPassed=روند 4h;روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD) | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.40 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 2/5 + شدت=2"
DOT-USDT,SHORT,ریسک بالا,1.86520000,1.87436920,1.84686160,2025-12-17 13:16:44,STOP_HIT,2025-12-17 13:17:00,1.87436920,0.020000,-0.069159,10.00,-0.4916,"Dir=SHORT | TF_EMA=30m:EMA21=1.878549,30m:EMA55=1.89176,1h:EMA21=1.887661,1h:EMA55=1.91334,4h:EMA21=1.932108,4h:EMA55=2.016864 | TF_RSI=5m:RSI=41.83,15m:RSI=38.61,30m:RSI=38.63,1h:RSI=37.01,4h:RSI=32.8 | TF_MACD=5m:MACD=-0.002736,5m:HIST=0.00015,15m:MACD=-0.005602,15m:HIST=-0.000426,30m:MACD=-0.008379,30m:HIST=-0.001254,1h:MACD=-0.01051,1h:HIST=-0.002308,4h:MACD=-0.042307,4h:HIST=8.6e-05 | BS15=0.125 | RulesPassed=روند 4h;روند 1h;EMA21 30m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI 5/5 + قوی=0 یا MACD 3/5 + شدت=2|بدون واگرایی در 1h و 4h"
ATOM-USDT,SHORT,ریسک بالا,1.99290000,2.00140680,1.97588640,2025-12-17 13:16:44,STOP_HIT,2025-12-17 13:17:00,2.00140680,0.020000,-0.062686,10.00,-0.4269,"Dir=SHORT | TF_EMA=30m:EMA21=2.003688,30m:EMA55=2.020327,1h:EMA21=2.013903,1h:EMA55=2.047948,4h:EMA21=2.066927,4h:EMA55=2.144921 | TF_RSI=5m:RSI=43.4,15m:RSI=42.43,30m:RSI=42.48,1h:RSI=36.99,4h:RSI=30.72 | TF_MACD=5m:MACD=-0.004305,5m:HIST=0.000135,15m:MACD=-0.004132,15m:HIST=-0.002023,30m:MACD=-0.006388,30m:HIST=-0.000487,1h:MACD=-0.013491,1h:HIST=0.000425,4h:MACD=-0.04484,4h:HIST=-0.004214 | BS15=0.964 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی;حجم + کندل 15m | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.96 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 3/5 + شدت=1|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.1x) + قدرت کندل 15m = 0.96"
DOGE-USDT,SHORT,ریسک میانی,0.12974000,0.13018160,0.12885680,2025-12-17 13:25:45,STOP_HIT,2025-12-17 13:26:00,0.13018160,0.020000,-0.054037,10.00,-0.3404,"Dir=SHORT | TF_EMA=30m:EMA21=0.130821,30m:EMA55=0.131114,1h:EMA21=0.131036,1h:EMA55=0.131998,4h:EMA21=0.132929,4h:EMA55=0.136757 | TF_RSI=5m:RSI=28.65,15m:RSI=32.44,30m:RSI=36.05,1h:RSI=38.64,4h:RSI=36.41 | TF_MACD=5m:MACD=-0.000248,5m:HIST=-1.3e-05,15m:MACD=-0.000367,15m:HIST=-8.9e-05,30m:MACD=-0.000356,30m:HIST=-0.000166,1h:MACD=-0.000213,1h:HIST=-0.000174,4h:MACD=-0.002042,4h:HIST=9e-05 | BS15=0.65 | RulesPassed=روند 4h;کندل قوی 15m;ورود + حجم;RSI;MACD;عدم واگرایی;حجم + کندل 15m | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 4 کندل|قدرت کندل 15m = 0.65 (حد > 0.45)|نزدیکی سطح + حجم ≥1.2x|RSI: 5/5 همسو + 1 خیلی قوی (>70/<30)|MACD: 4/5 همسو + 2 شدت قوی|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.2x) + قدرت کندل 15m = 0.65"
DOT-USDT,SHORT,ریسک بالا,1.86340000,1.87282720,1.84454560,2025-12-17 13:25:45,STOP_HIT,2025-12-17 13:26:00,1.87282720,0.020000,-0.070591,10.00,-0.5059,"Dir=SHORT | TF_EMA=30m:EMA21=1.878385,30m:EMA55=1.891696,1h:EMA21=1.887498,1h:EMA55=1.913275,4h:EMA21=1.931908,4h:EMA55=2.016786 | TF_RSI=5m:RSI=39.74,15m:RSI=36.86,30m:RSI=37.17,1h:RSI=36.41,4h:RSI=32.53 | TF_MACD=5m:MACD=-0.002667,5m:HIST=0.000134,15m:MACD=-0.005777,15m:HIST=-0.000567,30m:MACD=-0.008523,30m:HIST=-0.001369,1h:MACD=-0.010654,1h:HIST=-0.002423,4h:MACD=-0.042483,4h:HIST=-5.4e-05 | BS15=0.605 | RulesPassed=روند 4h;روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی;حجم + کندل 15m | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.61 (حد > 0.35)|RSI 5/5 + قوی=0 یا MACD 4/5 + شدت=2|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.1x) + قدرت کندل 15m = 0.61"
