symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
AVAX-USDT,SHORT,LOW,8.84600000,9.05184600,8.43430800,2026-02-22 18:47:33,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.700 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.700 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=9.02, EMA50=9.07;✅ روند EMA 4h: EMA21=9.08, EMA50=9.11, EMA200=10.12;✅ RSI 30m: RSI=19.82 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0092 | سطح=MEDIUM;✅ شکست ورود: قیمت=8.85, EMA21=8.96, آستانه=0.003;✅ ADX: ADX=29.96 [حد > 25];✅ CCI: CCI=-161.77;❌ SAR: SAR=8.8323, قیمت=8.8460;❌ Stochastic: K=6.11, D=2.04;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0088 [حد > 0.007]"
ATOM-USDT,SHORT,MEDIUM,2.24750000,2.30324750,2.13600500,2026-02-22 18:47:34,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2.29, EMA50=2.31;❌ روند EMA 4h: EMA21=2.31, EMA50=2.26, EMA200=2.18;✅ RSI 30m: RSI=24.83 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0032 | سطح=MEDIUM;✅ شکست ورود: قیمت=2.25, EMA21=2.28, آستانه=0.003;✅ ADX: ADX=39.44 [حد > 25];✅ CCI: CCI=-139.80;❌ SAR: SAR=2.2464, قیمت=2.2475;❌ Stochastic: K=3.91, D=1.30;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0095 [حد > 0.007]"
APT-USDT,SHORT,LOW,0.82580000,0.86212580,0.75314840,2026-02-22 18:47:34,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.273 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.636 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.86, EMA50=0.87;✅ روند EMA 4h: EMA21=0.88, EMA50=0.91, EMA200=1.17;✅ RSI 30m: RSI=21.63 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0019 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.83, EMA21=0.85, آستانه=0.003;✅ ADX: ADX=25.32 [حد > 25];✅ CCI: CCI=-126.10;❌ SAR: SAR=0.8241, قیمت=0.8258;❌ Stochastic: K=10.35, D=3.45;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0185 [حد > 0.007]"
ARB-USDT,SHORT,LOW,0.09390000,0.09699390,0.08771220,2026-02-22 18:47:35,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA50=0.10;✅ روند EMA 4h: EMA21=0.10, EMA50=0.11, EMA200=0.13;✅ RSI 30m: RSI=27.43 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0001 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.09, EMA21=0.10, آستانه=0.003;✅ ADX: ADX=37.70 [حد > 25];✅ CCI: CCI=-120.82;❌ SAR: SAR=0.0936, قیمت=0.0939;❌ Stochastic: K=9.09, D=3.03;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0135 [حد > 0.007]"
OP-USDT,SHORT,LOW,0.12170000,0.12552170,0.11214575,2026-02-22 18:47:38,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.13, EMA50=0.13;✅ روند EMA 4h: EMA21=0.14, EMA50=0.16, EMA200=0.21;✅ RSI 30m: RSI=28.69 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0002 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.12, EMA21=0.12, آستانه=0.003;✅ ADX: ADX=25.52 [حد > 25];✅ CCI: CCI=-120.32;✅ SAR: SAR=0.1218, قیمت=0.1217;❌ Stochastic: K=13.33, D=4.44;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0164 [حد > 0.007]"
XRP-USDT,SHORT,MEDIUM,1.39372000,1.42632372,1.32851256,2026-02-22 19:16:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.608 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.608 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.42, EMA50=1.42;✅ روند EMA 4h: EMA21=1.43, EMA50=1.44, EMA200=1.58;✅ RSI 30m: RSI=22.86 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0023 | سطح=MEDIUM;✅ شکست ورود: قیمت=1.39, EMA21=1.41, آستانه=0.003;❌ ADX: ADX=2.95 [حد > 25];✅ CCI: CCI=-143.88;❌ SAR: SAR=1.3863, قیمت=1.3937;❌ Stochastic: K=18.84, D=6.28;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0067 [حد > 0.007]"
ADA-USDT,SHORT,MEDIUM,0.27210000,0.27687210,0.26255580,2026-02-22 19:16:30,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.28, EMA50=0.28;✅ روند EMA 4h: EMA21=0.28, EMA50=0.28, EMA200=0.30;✅ RSI 30m: RSI=27.70 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0002 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.27, EMA21=0.27, آستانه=0.003;❌ ADX: ADX=4.26 [حد > 25];✅ CCI: CCI=-118.13;❌ SAR: SAR=0.2704, قیمت=0.2721;❌ Stochastic: K=23.94, D=7.98;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0085 [حد > 0.007]"
DOGE-USDT,SHORT,MEDIUM,0.09594000,0.09775594,0.09230812,2026-02-22 19:16:31,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.571 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.571 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA50=0.10;✅ روند EMA 4h: EMA21=0.10, EMA50=0.10, EMA200=0.11;✅ RSI 30m: RSI=28.15 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0001 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.10, EMA21=0.10, آستانه=0.003;❌ ADX: ADX=4.31 [حد > 25];✅ CCI: CCI=-118.41;❌ SAR: SAR=0.0952, قیمت=0.0959;❌ Stochastic: K=31.20, D=10.40;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0092 [حد > 0.007]"
DOT-USDT,SHORT,MEDIUM,1.32210000,1.34362210,1.27905580,2026-02-22 19:16:31,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.875 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.875 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.34, EMA50=1.34;✅ روند EMA 4h: EMA21=1.34, EMA50=1.34, EMA200=1.51;✅ RSI 30m: RSI=37.71 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0006 | سطح=MEDIUM;✅ شکست ورود: قیمت=1.32, EMA21=1.33, آستانه=0.003;❌ ADX: ADX=9.13 [حد > 25];❌ CCI: CCI=-78.79;❌ SAR: SAR=1.3080, قیمت=1.3221;❌ Stochastic: K=41.62, D=13.87;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0077 [حد > 0.007]"
LTC-USDT,SHORT,MEDIUM,53.41000000,54.83341000,50.56318000,2026-02-22 19:16:32,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=54.37, EMA50=54.49;❌ روند EMA 4h: EMA21=54.41, EMA50=54.40, EMA200=59.92;✅ RSI 30m: RSI=30.84 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.1267 | سطح=MEDIUM;✅ شکست ورود: قیمت=53.41, EMA21=54.06, آستانه=0.003;❌ ADX: ADX=2.59 [حد > 25];✅ CCI: CCI=-126.25;❌ SAR: SAR=52.9886, قیمت=53.4100;❌ Stochastic: K=22.63, D=7.54;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0073 [حد > 0.007]"
AVAX-USDT,SHORT,MEDIUM,8.89900000,9.04389900,8.60920200,2026-02-22 19:16:32,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.900 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.900 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=9.02, EMA50=9.07;✅ روند EMA 4h: EMA21=9.08, EMA50=9.11, EMA200=10.12;✅ RSI 30m: RSI=34.73 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0057 | سطح=MEDIUM;✅ شکست ورود: قیمت=8.90, EMA21=8.96, آستانه=0.003;❌ ADX: ADX=1.23 [حد > 25];✅ CCI: CCI=-106.07;❌ SAR: SAR=8.8196, قیمت=8.8990;❌ Stochastic: K=33.33, D=11.11;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0088 [حد > 0.007]"
APT-USDT,SHORT,MEDIUM,0.83570000,0.86213570,0.78282860,2026-02-22 19:16:38,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.706 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.706 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.86, EMA50=0.87;✅ روند EMA 4h: EMA21=0.88, EMA50=0.91, EMA200=1.17;✅ RSI 30m: RSI=36.19 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0008 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.84, EMA21=0.84, آستانه=0.003;❌ ADX: ADX=3.93 [حد > 25];❌ CCI: CCI=-73.25;❌ SAR: SAR=0.8243, قیمت=0.8357;❌ Stochastic: K=35.35, D=11.78;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0180 [حد > 0.007]"
SUI-USDT,SHORT,MEDIUM,0.92510000,0.93992510,0.89544980,2026-02-22 19:16:39,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.94, EMA50=0.94;✅ روند EMA 4h: EMA21=0.95, EMA50=0.95, EMA200=1.13;✅ RSI 30m: RSI=37.37 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0005 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.93, EMA21=0.93, آستانه=0.003;❌ ADX: ADX=5.58 [حد > 25];❌ CCI: CCI=-87.32;❌ SAR: SAR=0.9169, قیمت=0.9251;❌ Stochastic: K=37.67, D=12.56;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0079 [حد > 0.007]"
FIL-USDT,SHORT,MEDIUM,0.93340000,0.95103340,0.89813320,2026-02-22 19:16:39,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.95, EMA50=0.95;✅ روند EMA 4h: EMA21=0.95, EMA50=0.95, EMA200=1.07;✅ RSI 30m: RSI=36.88 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0003 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.93, EMA21=0.94, آستانه=0.003;❌ ADX: ADX=1.61 [حد > 25];❌ CCI: CCI=-74.18;❌ SAR: SAR=0.9240, قیمت=0.9334;❌ Stochastic: K=38.83, D=12.94;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0113 [حد > 0.007]"
BTC-USDT,SHORT,MEDIUM,67622.70000000,68299.52270000,66269.05460000,2026-02-22 19:49:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.757 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.757 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=67921.76, EMA50=67896.68;✅ روند EMA 4h: EMA21=67829.49, EMA50=68086.01, EMA200=74568.57;✅ RSI 30m: RSI=38.04 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-41.1935 | سطح=MEDIUM;✅ شکست ورود: قیمت=67622.70, EMA21=67861.21, آستانه=0.003;✅ ADX: ADX=34.05 [حد > 25];✅ CCI: CCI=-102.38;❌ SAR: SAR=67548.9000, قیمت=67622.7000;❌ Stochastic: K=33.95, D=11.32;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0016 [حد > 0.007]"
ETH-USDT,SHORT,LOW,1951.01000000,1984.99101000,1883.04798000,2026-02-22 19:49:02,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.187 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.187 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1967.78, EMA50=1969.12;✅ روند EMA 4h: EMA21=1968.84, EMA50=1985.38, EMA200=2292.54;✅ RSI 30m: RSI=28.26 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-2.2156 | سطح=MEDIUM;✅ شکست ورود: قیمت=1951.01, EMA21=1964.71, آستانه=0.003;✅ ADX: ADX=42.65 [حد > 25];✅ CCI: CCI=-106.23;✅ SAR: SAR=1952.5620, قیمت=1951.0100;❌ Stochastic: K=18.87, D=6.29;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;❌ فیلتر رنج: فاصله EMA=0.0027 [حد > 0.007]"
BNB-USDT,SHORT,LOW,613.84700000,625.42584700,590.68930600,2026-02-22 19:49:03,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.505 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.505 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=621.44, EMA50=621.66;✅ روند EMA 4h: EMA21=619.56, EMA50=621.44, EMA200=703.15;✅ RSI 30m: RSI=21.67 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.7515 | سطح=MEDIUM;✅ شکست ورود: قیمت=613.85, EMA21=620.15, آستانه=0.003;✅ ADX: ADX=35.25 [حد > 25];✅ CCI: CCI=-182.93;✅ SAR: SAR=615.3268, قیمت=613.8470;❌ Stochastic: K=2.03, D=0.68;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0035 [حد > 0.007]"
